sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-9227098,Lucky In Love Necklace,Lucky in Love Necklace,12.77,,,,,1000,1000
SO-9227099,Lucky In Love Necklace,Lucky in Love Necklace with Luxury Box,21.27,,,,,1000,1000
SO-9227219,Perfect Pair Necklace,Perfect Pair Necklace - Standard Box,6.50,,,,,1000,1000
SO-9227220,Perfect Pair Necklace,Perfect Pair Necklace - Luxury Box,15.00,,,,,1000,1000
SO-9227225,Perfect Pair Necklace,Perfect Pair Necklace - Standard Box,6.50,,,,,1000,1000
SO-9227226,Perfect Pair Necklace,Perfect Pair Necklace - Luxury Box,15.00,,,,,1000,1000
SO-9239244,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9239245,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9239246,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9239247,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9260208,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9260209,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9260210,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9260211,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9326191,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-9326192,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-9326193,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-9326194,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-9326221,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-9326222,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-9326223,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-9326224,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-9432488,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9432489,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9432490,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9432491,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9598183,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9598184,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9598185,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9598186,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9627742,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9627743,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9627744,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9627745,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9702665,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
