sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-10282839,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10282840,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10282841,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10293271,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10293272,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10293273,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10293274,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10296186,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10296187,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10296188,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10296189,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10296190,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10296191,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10296302,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10296303,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10300027,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10300028,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10300029,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10300030,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10307266,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10307271,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10307272,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10307273,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10321428,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10321429,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10321430,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10321431,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10321883,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10321884,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10321885,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10321886,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10321942,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10321943,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10321944,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10321945,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10330140,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10330141,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10330142,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10330143,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10330214,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10330215,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10330216,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10330217,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10330267,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10330269,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10330270,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10330271,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10331295,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10331296,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10331297,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10331298,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10334418,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10334419,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10334420,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10334421,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10354896,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10354897,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10364844,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10364845,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10364846,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10364847,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10365017,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10365018,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10365019,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10365020,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10377113,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10377114,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10377115,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10377116,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10378805,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10378806,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10378807,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10378808,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10379053,Dog Tag Necklace - Engraved No MC,Engraved Dog Tag Stainless,7.00,,,,,1499,2595
SO-10379054,Dog Tag Necklace - Engraved No MC,Engraved Dog Tag Stainless,10.00,,,,,1499,2595
SO-10379055,Dog Tag Necklace - Engraved No MC,Engraved Dog Tag 18k,12.00,,,,,1499,2595
SO-10379056,Dog Tag Necklace - Engraved No MC,Engraved Dog Tag 18k,15.00,,,,,1499,2595
SO-10388530,Engraved Stainless Steel Cross Necklace,Personalized Cross Necklace with POD MC,15.00,,,,,1000,1000
SO-10388531,Engraved Stainless Steel Cross Necklace,Personalized Cross w/ Luxury Box & MC,23.00,,,,,1000,1000
SO-10389793,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10389794,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10389795,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10389796,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10390016,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10390017,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10390018,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10390019,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10391056,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10391057,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10392160,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10392161,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10392162,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10392163,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10400982,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-10400983,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-10400984,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-10400985,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-10402492,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10402493,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10402494,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10402495,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10403447,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-10403448,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-10403449,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-10403450,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-10412171,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10412172,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10412173,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10412174,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10430985,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10430988,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10430989,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10430990,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10443322,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10443323,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10443324,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10443325,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10454841,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10454842,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10454843,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10454844,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10497001,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10497003,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10498644,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-10498645,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-10498646,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-10498647,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-10510179,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10510180,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10530568,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-10530569,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-10530570,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-10530571,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-10563967,Acrylic Square Plaque,Acrylic Square,11.50,,,,,1000,1000
SO-10563968,Acrylic Square Plaque,Acrylic Square with LED Corded Base,12.00,,,,,1000,1000
SO-10588617,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-10588618,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-10588619,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-10588620,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-10599106,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10599107,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10599108,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10599109,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10625396,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10625397,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10625398,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10625399,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10721802,Lucky In Love Necklace,Lucky in Love Necklace,12.77,,,,,1000,1000
SO-10721803,Lucky In Love Necklace,Lucky in Love Necklace with Luxury Box,21.27,,,,,1000,1000
SO-10749663,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10749664,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10749665,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10749666,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10758543,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10758544,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10758545,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10758546,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10758839,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10758840,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10758841,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10758842,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10775348,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10775349,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10775350,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10775351,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10789292,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10789293,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10789294,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10789295,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10805910,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10805911,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10805912,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10805913,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10820863,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10820864,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10893674,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-10893675,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-10893676,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-10893677,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-10935592,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10935593,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10935594,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10935595,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10951901,Engraved Stainless Steel Cross Necklace,Personalized Cross Necklace with POD MC,15.00,,,,,1000,1000
SO-10951902,Engraved Stainless Steel Cross Necklace,Personalized Cross w/ Luxury Box & MC,23.00,,,,,1000,1000
SO-10971046,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10971047,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10971048,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10971049,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10971155,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10971156,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10971157,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10971158,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10971644,Engraved Stainless Steel Cross Necklace,Personalized Cross Necklace with POD MC,15.00,,,,,1000,1000
SO-10971645,Engraved Stainless Steel Cross Necklace,Personalized Cross w/ Luxury Box & MC,23.00,,,,,1000,1000
SO-10990375,Cuban Link Chain - Engraved Artisan Cross,Personalized Cross Necklace with Cuban Chain,15.50,,,,,1000,1000
SO-11047168,Engraved Stainless Steel Cross Necklace,Personalized Cross Necklace with POD MC,15.00,,,,,1000,1000
SO-11047169,Engraved Stainless Steel Cross Necklace,Personalized Cross w/ Luxury Box & MC,23.00,,,,,1000,1000
SO-11054099,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11054100,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11054101,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11054102,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11062612,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11062613,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11062614,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11062615,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11079736,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11079737,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11079738,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11079739,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11153420,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11153421,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11153422,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11153423,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11156971,Custom Name Necklace,Custom Name Necklace (w/MC),13.00,,,,,1000,1000
SO-11156972,Custom Name Necklace,Gold Custom Necklace (With Message Card),18.00,,,,,1000,1000
SO-11156973,Custom Name Necklace,Custom Name Necklace (w/MC),21.50,,,,,1000,1000
SO-11156974,Custom Name Necklace,Gold Custom Necklace (With Message Card),26.50,,,,,1000,1000
SO-11187535,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11187536,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11187537,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11187538,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11191137,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-11191138,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-11191139,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-11191140,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-11205187,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11205188,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11205189,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11205190,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11235444,Cuban Link Chain - Engraved Artisan Cross,Personalized Cross Necklace with Cuban Chain,15.50,,,,,1000,1000
SO-11238584,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11238585,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11238586,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11238587,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11240987,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-11240988,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-11240989,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-11240990,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-11241284,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-11241285,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-11241286,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-11241287,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-11313222,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-11313223,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-11313224,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-11313225,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-11314014,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-11314015,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-11319041,Alluring Beauty Necklace & Earring Set,Alluring Beauty + Clear CZ Earrings,16.50,,,,,1000,1000
SO-11319044,Alluring Beauty Necklace & Earring Set,Alluring Beauty + Clear CZ Earrings,25.00,,,,,1000,1000
SO-11319045,Eternal Hope Necklace & Earring Set,Eternal Hope Necklace & Earring Set,17.50,,,,,1000,1000
SO-11319046,Eternal Hope Necklace & Earring Set,Eternal Hope Necklace & Earring Set,26.00,,,,,1000,1000
SO-11319047,Forever Love Necklace & Earring Set,Forever Love Necklace + Clear CZ Earrings,16.50,,,,,1000,1000
SO-11319048,Forever Love Necklace & Earring Set,Forever Love Necklace + Clear CZ Earrings,25.00,,,,,1000,1000
SO-11319049,Love Knot Necklace & Earring Set,Love Knot Necklace & Earring Set,21.50,,,,,1000,1000
SO-11319052,Love Knot Necklace & Earring Set,Love Knot Necklace & Earring Set + Mahogany Style Luxury Box,30.00,,,,,1000,1000
SO-11320317,Everlasting Love Necklace,Everlasting Love with Luxury Box & MC,118.00,,,,,1000,1000
SO-11320322,Lucky In Love Necklace,Lucky in Love Necklace,12.77,,,,,1000,1000
SO-11320323,Lucky In Love Necklace,Lucky in Love Necklace with Luxury Box,21.27,,,,,1000,1000
SO-11329015,Signature Name Necklace - MC,Signature Name Necklace (w/MC),13.00,,,,,1000,1000
SO-11329016,Signature Name Necklace - MC,Gold Signature Name Necklace (w/MC),18.00,,,,,1000,1000
SO-11329017,Signature Name Necklace - MC,Signature Name Necklace (w/MC),21.50,,,,,1000,1000
SO-11329018,Signature Name Necklace - MC,Gold Signature Name Necklace (w/MC),26.50,,,,,1000,1000
SO-11329019,Heart Name Necklace,Name Necklace + Heart (w/MC),13.00,,,,,1000,1000
SO-11329020,Heart Name Necklace,Gold Name Necklace + Heart (w/MC),18.00,,,,,1000,1000
SO-11329021,Heart Name Necklace,Name Necklace + Heart (w/MC),21.50,,,,,1000,1000
SO-11329022,Heart Name Necklace,Gold Name Necklace + Heart (w/MC),26.50,,,,,1000,1000
SO-11329213,Custom Name Necklace,Custom Name Necklace (w/MC),13.00,,,,,1000,1000
SO-11329214,Custom Name Necklace,Gold Custom Necklace (With Message Card),18.00,,,,,1000,1000
SO-11329215,Custom Name Necklace,Custom Name Necklace (w/MC),21.50,,,,,1000,1000
